"","plot","mortality"
"1","MS1_sbs_0001_5257",6
"2","MS1_sbs_0002_5454",2
"3","MS1_sbs_0007_5454",1
"4","MS1_sbs_0008_5257",4
"5","MS1_sbs_0010_5455",4
"6","MS1_sbs_0014_5454",5
"7","MS1_sbs_0017_5257",9
"8","MS1_sbs_0019_5257",20
"9","MS1_sbs_0023_5257",12
"10","MS1_sbs_0024_5454",8
"11","MS1_sbs_0025_5454",4
"12","MS1_sbs_0028_5454",8
"13","MS1_sbs_0030_5454",13
"14","MS1_sbs_0031_5257",4
"15","MS1_sbs_0032_5454",16
"16","MS1_sbs_0033_5454",8
"17","MS1_sbs_0034_5454",5
"18","MS1_sbs_0038_5454",9
"19","MS1_sbs_0043_5454",0
"20","MS1_sbs_0045_5454",5
"21","MS1_sbs_0046_5454",0
"22","MS1_sbs_0047_5454",19
"23","MS1_sbs_0049_5454",16
"24","MS1_sbs_0051_5454",3
"25","MS1_sbs_0058_5454",7
"26","MS1_sbs_0059_5454",9
"27","MS1_sbs_0061_5454",7
"28","MS1_sbs_0063_5454",9
"29","MS1_sbs_0064_5454",6
"30","MS1_sbs_0065_5454",6
"31","MS1_sbs_0066_5257",5
"32","MS1_sbs_0069_5454",14
"33","MS1_sbs_0070_5454",5
"34","MS1_sbs_0071_5454",7
"35","MS1_sbs_0074_5454",1
"36","MS1_sbs_0075_5454",8
"37","MS1_sbs_0078_5454",7
"38","MS1_sbs_0079_5257",11
"39","MS1_sbs_0081_5454",2
"40","MS1_sbs_0085_5454",7
"41","MS1_sbs_0087_5454",3
"42","MS1_sbs_0090_5454",8
"43","MS1_sbs_0091_5454",9
"44","MS1_sbs_0092_5454",8
"45","MS1_sbs_0094_5454",0
"46","MS1_sbs_0095_5454",6
"47","MS1_sbs_0096_5454",4
"48","MS1_sbs_0097_5454",6
"49","MS1_sbs_0099_5257",7
"50","MS1_sbs_0101_5454",3
"51","MS1_sbs_0105_5454",10
"52","MS1_sbs_0107_5454",0
"53","MS1_sbs_0108_5454",6
"54","MS1_sbs_0112_5454",20
"55","MS1_sbs_0113_5257",17
"56","MS1_sbs_0118_5257",11
"57","MS1_sbs_0120_5454",8
"58","MS1_sbs_0121_5454",5
"59","MS1_sbs_0122_5454",5
"60","MS1_sbs_0123_5257",13
"61","MS1_sbs_0124_5454",7
"62","MS1_sbs_0125_5454",11
"63","MS1_sbs_0126_5455",6
"64","MS1_sbs_0128_5454",16
"65","MS1_sbs_0130_5257",17
"66","MS1_sbs_0132_5454",0
"67","MS1_sbs_0133_5454",15
"68","MS1_sbs_0134_5454",17
"69","MS1_sbs_0136_5455",4
"70","MS1_sbs_0137_5454",6
"71","MS1_sbs_0138_5454",19
"72","MS1_sbs_0144_5454",7
"73","MS1_sbs_0146_5455",20
"74","MS1_sbs_0147_5454",14
"75","MS1_sbs_0148_5454",9
"76","MS1_sbs_0149_5454",14
"77","MS1_sbs_0151_5454",11
"78","MS1_sbs_0152_5454",13
"79","MS1_sbs_0154_5454",15
"80","MS1_sbs_0155_5454",11
"81","MS1_sbs_0156_5454",13
"82","MS1_sbs_0157_5454",7
"83","MS1_sbs_0158_5454",9
"84","MS1_sbs_0160_5454",14
"85","MS1_sbs_0166_5455",13
"86","MS1_sbs_0168_5454",3
"87","MS1_sbs_0169_5454",12
"88","MS1_sbs_0170_5454",9
"89","MS1_sbs_0171_5454",8
"90","MS1_sbs_0172_5454",9
"91","MS1_sbs_0176_5454",6
"92","MS1_sbs_0177_5454",14
"93","MS1_sbs_0179_5454",5
"94","MS1_sbs_0180_5454",8
"95","MS1_sbs_0186_5454",7
"96","MS1_sbs_0196_5455",1
"97","MS1_sbs_0198_5454",9
"98","MS1_sbs_0199_5454",12
"99","MS1_sbs_0200_5454",4
"100","MS1_sbs_0204_5454",2
"101","MS1_sbs_0209_5454",8
"102","MS1_sbs_0211_5454",7
"103","MS1_sbs_0213_5454",10
"104","MS1_sbs_0214_5455",17
"105","MS1_sbs_0215_5454",12
"106","MS1_sbs_0216_5454",11
"107","MS1_sbs_0217_5454",11
"108","MS1_sbs_0218_5454",10
"109","MS1_sbs_0221_5455",20
"110","MS1_sbs_0223_5454",0
"111","MS1_sbs_0224_5454",8
"112","MS1_sbs_0228_5455",8
"113","MS1_sbs_0230_5454",18
"114","MS1_sbs_0231_5454",10
"115","MS1_sbs_0233_5454",4
"116","MS1_sbs_0234_5455",19
"117","MS1_sbs_0235_5454",9
"118","MS1_sbs_0238_5454",18
"119","MS1_sbs_0241_5454",1
"120","MS1_sbs_0243_5257",13
"121","MS1_sbs_0245_5455",20
"122","MS1_sbs_0246_5455",19
"123","MS1_sbs_0247_5455",20
"124","MS1_sbs_0248_5454",9
"125","MS1_sbs_0249_5455",20
"126","MS1_sbs_0250_5454",9
"127","MS1_sbs_0252_5455",20
"128","MS1_sbs_0253_5455",3
"129","MS1_sbs_0254_5454",7
"130","MS1_sbs_0255_5455",4
"131","MS1_sbs_0259_5454",15
"132","MS1_sbs_0261_5454",13
"133","MS1_sbs_0262_5454",6
"134","MS1_sbs_0263_5454",12
"135","MS1_sbs_0264_5454",12
"136","MS1_sbs_0267_5454",2
"137","MS1_sbs_0268_5455",20
"138","MS1_sbs_0272_5454",8
"139","MS1_sbs_0274_5455",0
"140","MS1_sbs_0276_5454",6
"141","MS1_sbs_0277_5454",13
"142","MS1_sbs_0281_5454",4
"143","MS1_sbs_0283_5455",18
"144","MS1_sbs_0284_5454",5
"145","MS1_sbs_0288_5455",14
"146","MS1_sbs_0290_5454",10
"147","MS1_sbs_0291_5454",6
"148","MS1_sbs_0295_5455",3
"149","MS1_sbs_0296_5454",15
"150","MS1_sbs_0298_5455",8
"151","MS1_sbs_0300_5455",2
"152","MS1_sbs_0303_5454",5
"153","MS1_sbs_0304_5454",13
"154","MS1_sbs_0305_5454",13
"155","MS1_sbs_0307_5454",11
"156","MS1_sbs_0308_5454",15
"157","MS1_sbs_0310_5454",7
"158","MS1_sbs_0311_5454",11
"159","MS1_sbs_0312_5455",20
"160","MS1_sbs_0317_5455",20
"161","MS1_sbs_0318_5454",5
"162","MS1_sbs_0322_5455",20
"163","MS1_sbs_0323_5455",17
"164","MS1_sbs_0324_5454",3
"165","MS1_sbs_0326_5257",16
"166","MS1_sbs_0328_5454",5
"167","MS1_sbs_0329_5257",20
"168","MS1_sbs_0330_5455",19
"169","MS1_sbs_0332_5454",20
"170","MS1_sbs_0334_5455",8
"171","MS1_sbs_0336_5454",10
"172","MS1_sbs_0337_5257",16
"173","MS1_sbs_0338_5454",17
"174","MS1_sbs_0342_5454",3
"175","MS1_sbs_0343_5257",5
"176","MS1_sbs_0344_5454",14
"177","MS1_sbs_0346_5455",5
"178","MS1_sbs_0348_5257",15
"179","MS1_sbs_0349_5454",16
"180","MS1_sbs_0350_5455",17
"181","MS1_sbs_0354_5455",20
"182","MS1_sbs_0358_5257",13
"183","MS1_sbs_0360_5454",9
"184","MS1_sbs_0362_5455",5
"185","MS1_sbs_0363_5454",15
"186","MS1_sbs_0366_5455",8
"187","MS1_sbs_0367_5454",17
"188","MS1_sbs_0369_5257",17
"189","MS1_sbs_0370_5257",14
"190","MS1_sbs_0371_5454",5
"191","MS1_sbs_0373_5454",3
"192","MS1_sbs_0374_5455",19
"193","MS1_sbs_0378_5455",5
"194","MS1_sbs_0379_5257",2
"195","MS1_sbs_0385_5257",9
"196","MS1_sbs_0386_5455",2
"197","MS1_sbs_0387_5454",12
"198","MS1_sbs_0388_5455",0
"199","MS1_sbs_0390_5257",13
"200","MS1_sbs_0394_5454",17
"201","MS1_sbs_0395_5454",20
"202","MS1_sbs_0398_5454",3
"203","MS1_sbs_0399_5454",1
"204","MS1_sbs_0400_5454",6
"205","MS1_sbs_0401_5455",20
"206","MS1_sbs_0403_5455",18
"207","MS1_sbs_0404_5257",19
"208","MS1_sbs_0408_5454",20
"209","MS1_sbs_0409_5454",15
"210","MS1_sbs_0410_5454",2
"211","MS1_sbs_0412_5455",0
"212","MS1_sbs_0414_5454",1
"213","MS1_sbs_0416_5455",18
"214","MS1_sbs_0417_5257",18
"215","MS1_sbs_0419_5454",8
"216","MS1_sbs_0420_5454",1
"217","MS1_sbs_0421_5455",4
"218","MS1_sbs_0423_5455",0
"219","MS1_sbs_0429_5455",0
"220","MS1_sbs_0430_5257",18
"221","MS1_sbs_0431_5455",0
"222","MS1_sbs_0433_5454",3
"223","MS1_sbs_0437_5454",9
"224","MS1_sbs_0438_5454",16
"225","MS1_sbs_0439_5454",6
"226","MS1_sbs_0441_5455",20
"227","MS1_sbs_0443_5455",20
"228","MS1_sbs_0444_5257",19
"229","MS1_sbs_0447_5455",0
"230","MS1_sbs_0449_5455",20
"231","MS1_sbs_0450_5257",20
"232","MS1_sbs_0451_5454",4
"233","MS1_sbs_0454_5455",8
"234","MS1_sbs_0455_5454",16
"235","MS1_sbs_0458_5454",6
"236","MS1_sbs_0459_5454",12
"237","MS1_sbs_0460_5257",19
"238","MS1_sbs_0461_5454",11
"239","MS1_sbs_0462_5454",8
"240","MS1_sbs_0463_5455",20
"241","MS1_sbs_0466_5454",1
"242","MS1_sbs_0467_5454",5
"243","MS1_sbs_0470_5455",20
